"tplace","fplace","id","from","to","fid","tid","fpid","tpi","date","lang","archive","year","flat","flng","tlat","tlng"
" "," s.l.",3531,"ZASAŃSKI Stanisław ","DANTISCUS Ioannes",473,1,3,0,"1532-04-14","Latin","BCz",1532,NA,NA,NA,NA
" "," s.l.",2776,"DANTISCUS Ioannes","HOZJUSZ Stanisław",1,8,3,0,"1544-12-11","Latin","AAWO",1544,NA,NA,NA,NA
" "," s.l.",2026,"HOZJUSZ Stanisław","DANTISCUS Ioannes",8,1,3,0,"1539-01-19","Latin","BCz",1539,NA,NA,NA,NA
" "," s.l.",3935,"DANTISCUS Ioannes","WERDEN Johann von",1,9,3,0,"1542-08-14","German","AAWO",1542,NA,NA,NA,NA
" "," s.l.",6205,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,3,0,"1541-08-10","German","GStA PK",1541,NA,NA,NA,NA
" "," s.l.",148,"FERBER Mauritius","DANTISCUS Ioannes",32,1,3,0,"1535-01-17","Latin","AAWO",1535,NA,NA,NA,NA
" "," s.l.",149,"FERBER Mauritius","DANTISCUS Ioannes",32,1,3,0,"1536-12-01","Latin","AAWO",1536,NA,NA,NA,NA
" ","Cracow",4299,"HEGEL Georg","DANTISCUS Ioannes",31,1,2,0,"1536-08-13","German","AAWO",1536,50.06465,19.94498,NA,NA
" "," s.l.",3176,"DANTISCUS Ioannes","HÖFEN Georg von",1,341,3,0,"1547-07-27","German","AAWO",1547,NA,NA,NA,NA
" "," s.l.",663,"CAMPEN Jan van","DANTISCUS Ioannes",126,1,3,0,"1531-07-31","Latin","AAWO",1531,NA,NA,NA,NA
" "," s.l.",6388,"DANTISCUS Ioannes","FERBER Mauritius",1,32,3,0,"1536-03-19","Latin","",1536,NA,NA,NA,NA
" "," s.l.",195,"Sigismund I  Jagiellon","ALIFIO Lodovico",24,105,3,0,"1524-03-25","Latin","BNW",1524,NA,NA,NA,NA
" "," s.l.",196,"Bona  Sforza","ALIFIO Lodovico",7,105,3,0,"1524-06-10","Latin","BNW",1524,NA,NA,NA,NA
" ","Gdańsk",4231,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1534-01-12","German","AAWO",1534,54.352025,18.646638,NA,NA
" "," s.l.",6288,"DANTISCUS Ioannes","SCHEWECKE Georg",1,33,3,0,"1542-08-14","German","AAWO",1542,NA,NA,NA,NA
" "," s.l.",5761,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1532-07-07","Latin","BK",1532,NA,NA,NA,NA
" ","Thorn",2199,"Thorn, town council","DANTISCUS Ioannes",1010,1,18,0,"1539-07-24","German","BCz",1539,53.01379,18.598444,NA,NA
" ","Cracow",2647,"DANTISCUS Ioannes","HERBERSTEIN Sigmund von",1,26,2,0,"1543-05-23","Latin","ONB",1543,50.06465,19.94498,NA,NA
" "," s.l.",4769,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,3,0,"1539-04-18","Latin","AAWO",1539,NA,NA,NA,NA
" "," s.l.",5897,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1533-12-10","German","AAWO",1533,NA,NA,NA,NA
" "," s.l.",4019,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1532-01-17","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",6316,"DANTISCUS Ioannes","Henry III of Nassau-Breda",1,306,3,0,"1530-07-31","Latin","BCz",1530,NA,NA,NA,NA
" "," s.l.",6317,"DANTISCUS Ioannes","Charles V of Habsburg",1,30,3,0,"1530-07-31","Latin","",1530,NA,NA,NA,NA
" "," s.l.",3762,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1537-02-18","Low German","BCz",1537,NA,NA,NA,NA
" "," s.l.",6049,"ÖLSCHLEGER Hans","DANTISCUS Ioannes",579,1,3,0,"1536-04-23","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",3650,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,3,0,"1538-05-16","Latin","BCz",1538,NA,NA,NA,NA
" "," s.l.",5933,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1538-01-17","German","AAWO",1538,NA,NA,NA,NA
" "," s.l.",6343,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1537-04-07","Latin","",1537,NA,NA,NA,NA
" "," s.l.",6355,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1530-06-16","Latin","",1530,NA,NA,NA,NA
" "," s.l.",6204,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,3,0,"1541-07-31","German","GStA PK",1541,NA,NA,NA,NA
" "," s.l.",6207,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,3,0,"1542-12-27","German","GStA PK",1542,NA,NA,NA,NA
" "," s.l.",787,"DIETZ Jost Ludwig","DANTISCUS Ioannes",70,1,3,0,"1532-05-09","Latin","AAWO",1532,NA,NA,NA,NA
" "," s.l.",3855,"DANTISCUS Ioannes","FERBER Mauritius",1,32,3,0,"1536-07-14","Latin","AAWO",1536,NA,NA,NA,NA
" "," s.l.",6089,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1537-11-11","Low German","AAWO",1537,NA,NA,NA,NA
" "," s.l.",6557,"DANTISCUS Ioannes","Ermland, Chapter",1,985,3,0,"1537-10-11","Latin","",1537,NA,NA,NA,NA
" "," s.l.",3068,"DANTISCUS Ioannes","HOZJUSZ Stanisław",1,8,3,0,"1547-03-29","Latin","AAWO",1547,NA,NA,NA,NA
" "," s.l.",4859,"GLAUBITZ Nicolaus","DANTISCUS Ioannes",533,1,3,0,"1540-03-31","German","GStA PK",1540,NA,NA,NA,NA
" "," s.l.",4860,"SCHULTZ Michael","DANTISCUS Ioannes",534,1,3,0,"1540-05-31","German","GStA PK",1540,NA,NA,NA,NA
" "," s.l.",4861,"BARSCH Georg","DANTISCUS Ioannes",1135,1,3,0,"1543-08-09","German","GStA PK",1543,NA,NA,NA,NA
" "," s.l.",1826,"GAMRAT Piotr","DANTISCUS Ioannes",103,1,3,0,"1537-09-16","Latin","BK",1537,NA,NA,NA,NA
" "," s.l.",4866,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,3,0,"1535-11-17","German","GStA PK",1535,NA,NA,NA,NA
" "," s.l.",4868,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,3,0,"1547-07-05","German","GStA PK",1547,NA,NA,NA,NA
" "," s.l.",5995,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1534-03-26","German","AAWO",1534,NA,NA,NA,NA
" "," s.l.",4874,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,3,0,"1536-02-19","German","",1536,NA,NA,NA,NA
" "," s.l.",4875,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,3,0,"1536-02-19","German","GStA PK",1536,NA,NA,NA,NA
" "," s.l.",4877,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,3,0,"1536-05-26","German","GStA PK",1536,NA,NA,NA,NA
" "," s.l.",5999,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,3,0,"1534-04-21","Latin","B. PAU-PAN",1534,NA,NA,NA,NA
" "," s.l.",1503,"DANTISCUS Ioannes","Marienburg, town council",1,1004,3,0,"1536-07-12","German","BCz",1536,NA,NA,NA,NA
" ","Cracow",2168,"MACIEJOWSKI Samuel","DANTISCUS Ioannes",38,1,2,0,"1539-06-21","Latin","BCz",1539,50.06465,19.94498,NA,NA
" "," s.l.",3102,"DANTISCUS Ioannes","ZEHMEN Achatius von",1,16,3,0,"1547-06-02","German","AAWO",1547,NA,NA,NA,NA
" "," s.l.",5506,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1536-08-17","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",3734,"GATTENHOFER Christoph","DANTISCUS Ioannes",15,1,3,0,"1534-03-25","German","BCz",1534,NA,NA,NA,NA
" "," s.l.",5644,"HÖFEN Ursula von","DANTISCUS Ioannes",1228,1,3,0,"1538-04-18","German","AAWO",1538,NA,NA,NA,NA
" "," s.l.",4522,"HÖFEN Bernhard von","DANTISCUS Ioannes",266,1,3,0,"1538-01-13","German","AAWO",1538,NA,NA,NA,NA
" ","Cracow",3688,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,2,0,"1530-08-28","German","BCz",1530,50.06465,19.94498,NA,NA
" "," s.l.",6311,"Kalkstein inhabitants of","DANTISCUS Ioannes",995,1,3,0,"1548-10-27","German","BCz",1548,NA,NA,NA,NA
" "," s.l.",4909,"DANTISCUS Ioannes","Erasmus of Rotterdam",1,561,3,0,"1531-10-31","Latin","BCz",1531,NA,NA,NA,NA
" "," s.l.",360,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1544-09-03","Latin","GStA PK",1544,NA,NA,NA,NA
" "," s.l.",4166,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1538-11-22","Latin","GStA PK",1538,NA,NA,NA,NA
" "," s.l.",6041,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1536-09-01","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",6183,"SPON Kaspar","DANTISCUS Ioannes",525,1,3,0,"1548-10-27","German","AAWO",1548,NA,NA,NA,NA
" "," s.l.",5429,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1544-07-17","German","AAWO",1544,NA,NA,NA,NA
" "," s.l.",6061,"BOCHSEN Dionisius von","DANTISCUS Ioannes",581,1,3,0,"1537-12-13","German","AAWO",1537,NA,NA,NA,NA
" "," s.l.",3025,"AICHLER Stanisław","DANTISCUS Ioannes",282,1,3,0,"1547-03-21","Latin","BCz",1547,NA,NA,NA,NA
" "," s.l.",6190,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,3,0,"1516-10-31","Latin","",1516,NA,NA,NA,NA
" "," s.l.",3027,"DANTISCUS Ioannes","Elbing, town council",1,984,3,0,"1545-10-18","German","AAWO",1545,NA,NA,NA,NA
" "," s.l.",4061,"DANTISCUS Ioannes","HÖFEN Bernhard von",1,266,3,0,"1545-06-18","German","AAWO",1545,NA,NA,NA,NA
" "," s.l.",2657,"BAYSEN Georg von","Sigismund I  Jagiellon",275,24,3,0,"1543-08-20","Latin","",1543,NA,NA,NA,NA
" "," s.l.",4198,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,3,0,"1541-03-21","German","UUB",1541,NA,NA,NA,NA
" "," s.l.",3793,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,3,0,"1538-05-25","German","BCz",1538,NA,NA,NA,NA
" "," s.l.",6202,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,3,0,"1540-06-22","German","GStA PK",1540,NA,NA,NA,NA
" "," s.l.",903,"DZIAŁYŃSKI Mikołaj","DANTISCUS Ioannes",188,1,3,0,"1533-03-03","Low German","AAWO",1533,NA,NA,NA,NA
" "," s.l.",3042,"DANTISCUS Ioannes","TRENCK Achatius",1,138,3,0,"1547-02-11","Latin","",1547,NA,NA,NA,NA
" "," s.l.",1202,"DANTISCUS Ioannes","ZZZZZUNK",1,943,3,0,"1534-07-23","German","AAWO",1534,NA,NA,NA,NA
" "," s.l.",6084,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1537-01-13","German","AAWO",1537,NA,NA,NA,NA
" "," s.l.",5996,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1534-03-22","German","AAWO",1534,NA,NA,NA,NA
" "," s.l.",3090,"DANTISCUS Ioannes","Ermland, Chapter",1,985,3,0,"1547-05-21","Latin","AAWO",1547,NA,NA,NA,NA
" "," s.l.",3807,"DANTISCUS Ioannes","Charles V of Habsburg",1,30,3,0,"1528-11-18","Spanish","AAWO",1528,NA,NA,NA,NA
" "," s.l.",917,"GLAUBITZ Hans","DANTISCUS Ioannes",11,1,3,0,"1543-07-24","German","GStA PK",1543,NA,NA,NA,NA
" "," s.l.",6088,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1536-11-01","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",3309,"DANTISCUS Ioannes","EGMOND-BUREN Maximiliaan van",1,141,3,0,"1547-04-26","Latin","AAWO",1547,NA,NA,NA,NA
" "," s.l.",924,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1533-04-30","Latin","BCz",1533,NA,NA,NA,NA
" "," s.l.",3064,"DANTISCUS Ioannes","HOZJUSZ Stanisław",1,8,3,0,"1547-03-18","Latin","",1547,NA,NA,NA,NA
" "," s.l.",3065,"DANTISCUS Ioannes","MACIEJOWSKI Samuel",1,38,3,0,"1547-03-18","Latin","AAWO",1547,NA,NA,NA,NA
" "," s.l.",2690,"DANTISCUS Ioannes","HANNAU Kaspar",1,210,3,0,"1542-12-31","Latin","",1542,NA,NA,NA,NA
" "," s.l.",934,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1533-04-13","German","AAWO",1533,NA,NA,NA,NA
" "," s.l.",3075,"DANTISCUS Ioannes","HÖFEN Georg von",1,341,3,0,"1547-04-06","German","AAWO",1547,NA,NA,NA,NA
" "," s.l.",3458,"REYNECK Johann","DANTISCUS Ioannes",197,1,3,0,"1532-04-12","Latin","BCz",1532,NA,NA,NA,NA
" "," s.l.",3206,"DANTISCUS Ioannes","ARCHIMONTANUS Iacobus",1,375,3,0,"1547-08-11","Latin","AAWO",1547,NA,NA,NA,NA
" "," s.l.",4112,"DANTISCUS Ioannes","Gdańsk, town council",1,991,3,0,"1539-07-31","German","AAWO",1539,NA,NA,NA,NA
" "," s.l.",5610,"ELYOT Thomas","DANTISCUS Ioannes",542,1,3,0,"1532-07-07","Latin","AAWO",1532,NA,NA,NA,NA
" "," s.l.",5782,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1532-01-17","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",6160,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,3,0,"1536-12-31","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",3849,"DANTISCUS Ioannes","ZZZZZUNK",1,943,3,0,"1542-09-24","Latin","AAWO",1542,NA,NA,NA,NA
" "," s.l.",1965,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,3,0,"1538-11-03","German","BCz",1538,NA,NA,NA,NA
" "," s.l.",5755,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1528-12-16","Latin","BK",1528,NA,NA,NA,NA
" "," s.l.",5756,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1528-12-16","Latin","BK",1528,NA,NA,NA,NA
" "," s.l.",5382,"DANTISCUS Ioannes","GAMRAT Piotr",1,103,3,0,"1542-03-17","Latin","",1542,NA,NA,NA,NA
" "," s.l.",717,"UUTENHOVE Karel","DANTISCUS Ioannes",128,1,3,0,"1531-11-27","Latin","AAWO",1531,NA,NA,NA,NA
" "," s.l.",6188,"DANTISCUS Ioannes","LUSIAN Fabian von",1,621,3,0,"1520-02-21","Latin","AAWO",1520,NA,NA,NA,NA
" "," s.l.",6302,"GATTENHOFER Christoph","DANTISCUS Ioannes",15,1,3,0,"1534-05-01","German","AAWO",1534,NA,NA,NA,NA
" "," s.l.",6191,"PURGGRAM Matthäus","DANTISCUS Ioannes",527,1,3,0,"1548-10-27","German","",1548,NA,NA,NA,NA
" "," s.l.",4020,"DANTISCUS Ioannes","ZEHMEN Achatius von",1,16,3,0,"1536-07-24","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",3892,"DANTISCUS Ioannes","MACIEJOWSKI Samuel",1,38,3,0,"1543-01-06","Latin","",1543,NA,NA,NA,NA
" "," s.l.",2078,"HEGEL Georg","DANTISCUS Ioannes",31,1,3,0,"1539-02-26","German","BCz",1539,NA,NA,NA,NA
" ","Cracow",1608,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,2,0,"1537-03-28","Latin","BNW",1537,50.06465,19.94498,NA,NA
" ","Cracow",1690,"DIETZ Jost Ludwig","DANTISCUS Ioannes",70,1,2,0,"1537-08-22","Latin","AAWO",1537,50.06465,19.94498,NA,NA
